sentiment,n_fills,n_closed_trades,total_closed_pnl,avg_pnl_per_closed_trade,median_pnl_per_closed_trade,win_rate_pct,pnl_std_dev,total_volume_usd,total_fees_usd,active_days,avg_fills_per_active_day
Extreme Fear,1246,571,322691.423385,565.1338413047285,51.699488,71.80385288966725,5524.128234767569,15787070.15,3914.272398,12,103.83333333333333
Fear,9846,4577,1624144.5165569999,354.8491406067293,21.78944,87.5901245357221,3079.3164674282484,275108651.98,46938.74628642,73,134.87671232876713
Neutral,5854,2861,619965.87665,216.6955178783642,26.002575,94.82698357217755,1077.1128902137611,106322746.21,22634.19898648,58,100.93103448275862
Greed,9680,4658,941491.422859,202.12353431923574,17.9958,94.07471017604122,2581.7378046219296,180756982.77,40622.23802298,136,71.17647058823529
Extreme Greed,7957,4698,445457.970786,94.81864001404854,15.73864,91.01745423584504,931.8955617532176,71575816.99,16719.98225184,105,75.78095238095239
